count,tweets
21,이시각 주요뉴스 10시 1 신규확진 2만2 907명 오미크론 확산에 이틀째 2만명대 2 에스디바이오센서 코로나19 자가진단 키트 미국서 리콜 3 LG에너지솔루션 사흘만에 반등 시도
22,Xinews 신한 의료기기 원재희 이동건 에스디바이오센서 https t co Hoc7RR2MfI
23,에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 30개 https t co pKdVZ6LKDz 파트너스 활동으로 수수료를 받을수 있 https t co 3GAwF1ZbuB
24,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
25,RT rapportianews 약국에서 직접 자가검사키트를 구매해 검사를 해도 되나 식약처가 품목허가해 약국에서 구매할 수 있는 제품은 ▲래피젠 BIOCREDIT COVID 19 Ag Home Test Nasal ▲에스디바이오센서 STAND
26,RT SageCaelitus 오는 29일부터 선별진료소에서 자가검사키트 신속항원검사 가 코로나19 COVID 19 검사에 쓰인다 결과는 방역패스 인정 현재 식품의약품안전처에서 정식 허가를 받아 국내 유통되는 신속항원검사 방식 자가검
27,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
28,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
29,나머지 종목들의 설명은 경남제약 설명한것과 동일한데 후자의 방식을 선호한다는 가정하에 올렸습니다 에스디바이오센서입니다 https t co L3SrCxDoZY
30,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
31,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
32,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
33,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
34,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
35,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
36,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
37,에스디바이오센서 현재 주주명부 한번 보고 싶음 ㅎㅎㅎ
38,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
39,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
40,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
41,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
42,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
43,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
44,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
45,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
46,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
47,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
48,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
49,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
50,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
51,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
52,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
53,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
54,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
55,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
56,약국에서 직접 자가검사키트를 구매해 검사를 해도 되나 식약처가 품목허가해 약국에서 구매할 수 있는 제품은 ▲래피젠 BIOCREDIT COVID 19 Ag Home Test Nasal ▲에스디바이오센서 https t co QoDf6P0VZw
57,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
58,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
59,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
60,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
61,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
62,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
63,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
64,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
65,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
66,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
67,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
68,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
69,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
70,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
71,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
72,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
73,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
74,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
75,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
76,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
77,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
78,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
79,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
80,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
81,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
82,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
83,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
84,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
85,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
86,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
87,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
88,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
89,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
90,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
91,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
92,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
93,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
94,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
95,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
96,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
97,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
98,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
99,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
